Date,symbol,close,return,future_mdd_20,crash
2015-01-02,AAPL,24.237548828125,,,0
2015-01-05,AAPL,23.55473518371582,-0.028171728471851454,,0
2015-01-06,AAPL,23.55695152282715,9.409314492581089e-05,,0
2015-01-07,AAPL,23.88728141784668,0.014022607921039043,,0
2015-01-08,AAPL,24.805076599121094,0.03842191856075794,,0
2015-01-09,AAPL,24.83169174194336,0.0010729716038533343,,0
2015-01-12,AAPL,24.219816207885746,-0.024640912122152803,,0
2015-01-13,AAPL,24.43485641479492,0.008878688635100218,,0
2015-01-14,AAPL,24.34174919128418,-0.0038104264633355145,,0
2015-01-15,AAPL,23.681108474731445,-0.027140231844525076,,0
2015-01-16,AAPL,23.49710464477539,-0.007770068286811482,,0
2015-01-20,AAPL,24.10231208801269,0.02575668161616962,,0
2015-01-21,AAPL,24.286325454711918,0.007634676956603803,,0
2015-01-22,AAPL,24.918142318725582,0.02601533382198351,,0
2015-01-23,AAPL,25.04672622680664,0.0051602525756677675,,0
2015-01-26,AAPL,25.073326110839844,0.0010620104117533558,,0
2015-01-27,AAPL,24.195432662963867,-0.03501304310386011,,0
2015-01-28,AAPL,25.56326484680176,0.056532660642669263,,0
2015-01-29,AAPL,26.35914421081543,0.03113371350581784,,0
2015-01-30,AAPL,25.973398208618164,-0.014634238468143823,-0.09533960646786377,0
2015-02-02,AAPL,26.29928207397461,0.012546832060208235,-0.10654957885607885,1
2015-02-03,AAPL,26.303720474243164,0.00016876507336105462,-0.10670033663929923,1
2015-02-04,AAPL,26.50545310974121,0.0076693574848312185,-0.11349922797057188,1
2015-02-05,AAPL,26.694643020629883,0.007137773125604152,-0.11978202418303185,1
2015-02-06,AAPL,26.469850540161133,-0.00842088355686299,-0.11230686364758169,1
2015-02-09,AAPL,26.645675659179688,0.006642467389522455,-0.11816442767964053,1
2015-02-10,AAPL,27.15757751464844,0.01921144211227377,-0.13478642813036767,1
2015-02-11,AAPL,27.794109344482425,0.023438461309394976,-0.15460127347308072,1
2015-02-12,AAPL,28.14577293395996,0.012652450385043368,-0.1651639946109139,1
2015-02-13,AAPL,28.283763885498047,0.004902723825061184,-0.1478392979948936,1
2015-02-17,AAPL,28.45069122314453,0.005901878488388634,-0.14956608705236052,1
2015-02-18,AAPL,28.648775100708008,0.006962357294234556,-0.1554461725532581,1
2015-02-19,AAPL,28.58867835998535,-0.002097707162396989,-0.15367082177434854,1
2015-02-20,AAPL,28.82237434387207,0.008174424187926688,-0.1605329812771632,1
2015-02-23,AAPL,29.60135269165039,0.02702686248136743,-0.1826240876556754,1
2015-02-24,AAPL,29.4166316986084,-0.0062402889140298345,-0.13099279656783158,1
2015-02-25,AAPL,28.664352416992188,-0.025573263768733923,-0.09387807438408513,0
2015-02-26,AAPL,29.02713203430176,0.012656124653788403,-0.10520274004593211,1
2015-02-27,AAPL,28.59091186523437,-0.015028014774311926,-0.0801523855573949,0
2015-03-02,AAPL,28.731121063232425,0.004903977832499518,-0.08448680382665741,0
2015-03-03,AAPL,28.79121780395508,0.002091694946061873,-0.08062761636553839,0
2015-03-04,AAPL,28.60870933532715,-0.0063390326130234875,-0.0747625057144703,0
2015-03-05,AAPL,28.1346435546875,-0.01657068045548815,-0.059172351385592625,0
2015-03-06,AAPL,28.176931381225582,0.0015030517964758072,-0.05434430390337597,0
2015-03-09,AAPL,28.297122955322266,0.0042656019731364125,-0.040270717361373776,0
2015-03-10,AAPL,27.711769104003903,-0.02068598465796556,-0.01823146452172575,0
2015-03-11,AAPL,27.20654296875,-0.01823146452172575,0.0,0
2015-03-12,AAPL,27.69841194152832,0.018079069190940267,-0.017758020705904043,0
2015-03-13,AAPL,27.50700569152832,-0.0069103691000069745,-0.010923134497000442,0
2015-03-16,AAPL,27.8096981048584,0.011004193503449944,-0.0216886617695079,0
2015-03-17,AAPL,28.27486038208008,0.01672662088843091,-0.037783295793289096,0
2015-03-18,AAPL,28.5931339263916,0.011256414355744537,-0.04849384335453244,0
2015-03-19,AAPL,28.377243041992188,-0.007550444975887971,-0.04125489116436731,0
2015-03-20,AAPL,28.02113342285156,-0.012549126728543136,-0.02907057476259156,0
2015-03-23,AAPL,28.31269836425781,0.010405180154792637,-0.039069232514560626,0
2015-03-24,AAPL,28.196964263916016,-0.004087710003928713,-0.035125103748614106,0
2015-03-25,AAPL,27.46026992797852,-0.02612672516949821,-0.00923978387299118,0
2015-03-26,AAPL,27.65167808532715,0.00697036692831654,-0.01609794223712413,0
2015-03-27,AAPL,27.43133354187012,-0.00796857763124148,-0.008194664425519416,0
2015-03-30,AAPL,28.1257381439209,0.025314285249416146,-0.03268163738378449,0
2015-03-31,AAPL,27.69396209716797,-0.015351634312440354,-0.017600194826142723,0
2015-04-01,AAPL,27.65390014648437,-0.0014465951294017065,-0.016177001267983715,0
2015-04-02,AAPL,27.89204406738281,0.008611585332881644,-0.02457694018325607,0
2015-04-06,AAPL,28.34385681152344,0.01619862434782915,-0.04012558524890153,0
2015-04-07,AAPL,28.045625686645508,-0.010521896397553188,-0.02991848808333253,0
2015-04-08,AAPL,27.954376220703125,-0.003253607780475787,-0.01871058308379059,0
2015-04-09,AAPL,28.168031692504883,0.0076430062368382234,-0.026153696455503028,0
2015-04-10,AAPL,28.28821563720703,0.004266678836992721,-0.030291132757411132,0
2015-04-13,AAPL,28.232568740844727,-0.0019671405604357872,-0.02837981929059963,0
2015-04-14,AAPL,28.11016082763672,-0.004335698757404138,-0.024148822553131888,0
2015-04-15,AAPL,28.216991424560547,0.003800426385991873,-0.02784343202537798,0
2015-04-16,AAPL,28.08123016357422,-0.004811330128844271,-0.023143452687735766,0
2015-04-17,AAPL,27.76518821716309,-0.011254562017766756,-0.012024217976905227,0
2015-04-20,AAPL,28.399492263793945,0.02284529972099225,-0.03409070531722547,0
2015-04-21,AAPL,28.24593162536621,-0.0054071614027940695,-0.028839483657339904,0
2015-04-22,AAPL,28.62651824951172,0.013474033329590185,-0.04175096311833115,0
2015-04-23,AAPL,28.86021041870117,0.008163485588871255,-0.049510272312676795,0
2015-04-24,AAPL,28.995983123779297,0.004704494634943712,-0.04628513444658122,0
2015-04-27,AAPL,29.523452758789062,0.018191127810982755,-0.0633243214328354,0
2015-04-28,AAPL,29.058290481567383,-0.01575568687789075,-0.048330108613026,0
2015-04-29,AAPL,28.630970001220703,-0.014705630416136928,-0.0302393451573838,0
2015-04-30,AAPL,27.854209899902344,-0.027130065844267248,-0.003195986641127635,0
2015-05-01,AAPL,28.699960708618164,0.030363482279882836,-0.03257051467580496,0
2015-05-04,AAPL,28.644325256347656,-0.0019385201546217035,-0.030691490594275672,0
2015-05-05,AAPL,27.99887466430664,-0.022533279672837914,-0.008346279982511473,0
2015-05-06,AAPL,27.823055267333984,-0.006279516554884679,-0.0020798237150768673,0
2015-05-07,AAPL,27.995141983032227,0.0061850402137642035,-0.008214059639651494,0
2015-05-08,AAPL,28.522600173950195,0.01884106146836695,-0.026554800479896445,0
2015-05-11,AAPL,28.232053756713867,-0.010186533326708602,-0.016536718992317456,0
2015-05-12,AAPL,28.13148307800293,-0.003562287022318422,-0.013020815853333367,0
2015-05-13,AAPL,28.162769317626957,0.0011121432715537338,-0.014117258710599323,0
2015-05-14,AAPL,28.81984519958496,0.02333136612196518,-0.03458692874121794,0
2015-05-15,AAPL,28.779621124267575,-0.0013957075424528842,-0.03323761118338675,0
2015-05-18,AAPL,29.096982955932617,0.011027310967531623,-0.04378212306506124,0
2015-05-19,AAPL,29.070158004760746,-0.0009219152106765272,-0.04289975779362898,0
2015-05-20,AAPL,29.067928314208984,-7.670032448381381e-05,-0.042826342263493244,0
2015-05-21,AAPL,29.365175247192383,0.010225941448950726,-0.052515265680419865,0
2015-05-22,AAPL,29.62219619750977,0.0087525767564407,-0.06073624380109377,0
2015-05-26,AAPL,28.96958541870117,-0.02203114092072156,-0.03957703000565027,0
2015-05-27,AAPL,29.510448455810547,0.018670030284942518,-0.05717951697695456,0
2015-05-28,AAPL,29.45233726501465,-0.0019691734228611812,-0.05531927680374715,0
2015-05-29,AAPL,29.117095947265625,-0.011382503016059253,-0.04444264229768302,0
2015-06-01,AAPL,29.17520523071289,0.0019957101337477745,-0.04634585952990966,0
2015-06-02,AAPL,29.045578002929688,-0.004443061385794311,-0.04208980573471088,0
2015-06-03,AAPL,29.08133888244629,0.0012311987564164184,-0.03735030576840803,0
2015-06-04,AAPL,28.91147994995117,-0.005840822294383763,-0.026978794350842494,0
2015-06-05,AAPL,28.75279998779297,-0.005488475942182491,-0.021608918437641567,0
2015-06-08,AAPL,28.562833786010746,-0.006606876612464618,-0.01510181767115415,0
2015-06-09,AAPL,28.47789192199707,-0.0029738598295270258,-0.011065517252234036,0
2015-06-10,AAPL,28.804203033447266,0.011458401216774883,-0.011328593645562268,0
2015-06-11,AAPL,28.7393798828125,-0.0022504754101161373,-0.011042817914226122,0
2015-06-12,AAPL,28.422016143798828,-0.011042817914226122,-0.0019655974147797517,0
2015-06-15,AAPL,28.36614990234375,-0.0019655974147797517,0.0,0
2015-06-16,AAPL,28.518123626708984,0.005357573195108767,-0.005329022566649577,0
2015-06-17,AAPL,28.45107650756836,-0.002351035433405313,-0.0029850049857346184,0
2015-06-18,AAPL,28.58069610595703,0.0045558767645994536,-0.010009132093422357,0
2015-06-19,AAPL,28.294628143310547,-0.010009132093422357,0.0,0
2015-06-22,AAPL,28.52036476135254,0.007978073325390689,-0.00791492745379907,0
2015-06-23,AAPL,28.390729904174805,-0.004545343590885653,-0.0033849697133051526,0
2015-06-24,AAPL,28.63210678100586,0.008501960944496956,-0.011786720421117947,0
2015-06-25,AAPL,28.495777130126957,-0.00476142576309968,-0.007058905110671532,0
2015-06-26,AAPL,28.328155517578125,-0.005882331679651354,-0.017514815401338257,0
2015-06-29,AAPL,27.831993103027344,-0.017514815401338257,0.0,0
2015-06-30,AAPL,28.03313636779785,0.007227052120411415,-0.007175196600604616,0
2015-07-01,AAPL,28.294628143310547,0.009327952894099933,-0.016350631573597174,0
2015-07-02,AAPL,28.25887107849121,-0.0012637404046530465,-0.015105981207748198,0
2015-07-06,AAPL,28.16053581237793,-0.0034798016467164627,-0.011666777633051129,0
2015-07-07,AAPL,28.09124755859375,-0.0024604735593747318,-0.024823016228242678,0
2015-07-08,AAPL,27.393938064575195,-0.024823016228242678,-0.020396575398405448,0
2015-07-09,AAPL,26.83519554138184,-0.020396575398405448,0.0,0
2015-07-10,AAPL,27.5526180267334,0.02673438634889913,-0.026038269200243214,0
2015-07-13,AAPL,28.08453750610352,0.019305587543587244,-0.04448504677886056,0
2015-07-14,AAPL,28.0733699798584,-0.00039763967067973915,-0.044104944983979544,0
2015-07-15,AAPL,28.343795776367188,0.00963282273210564,-0.05322506014678552,0
2015-07-16,AAPL,28.721508026123047,0.0133260997481075,-0.06567595556004757,0
2015-07-17,AAPL,28.96958541870117,0.008637338692400354,-0.07367692172568974,0
2015-07-20,AAPL,29.517152786254883,0.018901456808568362,-0.09086097376309066,0
2015-07-21,AAPL,29.22213554382324,-0.00999477302461993,-0.08168259978336634,0
2015-07-22,AAPL,27.9862060546875,-0.04229429047997757,-0.041127779558847166,0
2015-07-23,AAPL,27.972797393798828,-0.0004791167785469508,-0.04066814757215442,0
2015-07-24,AAPL,27.825279235839844,-0.005273629086223863,-0.035582165629545415,0
2015-07-27,AAPL,27.438640594482425,-0.01389522951702904,-0.021992527327389988,0
2015-07-28,AAPL,27.574970245361328,0.004968527883495666,-0.026827760733628803,0
2015-07-29,AAPL,27.4878044128418,-0.0031610490145204118,-0.023741760588018246,0
2015-07-30,AAPL,27.349241256713867,-0.0050408957385915665,-0.01879561156768239,0
2015-07-31,AAPL,27.11009979248047,-0.00874398898268125,-0.023578006824497844,0
2015-08-03,AAPL,26.470897674560547,-0.023578006824497844,-0.03208365763885579,0
2015-08-04,AAPL,25.62161445617676,-0.03208365763885579,0.0,0
2015-08-05,AAPL,25.791473388671875,0.006629517151842235,-0.006585856105829069,0
2015-08-06,AAPL,25.84758758544922,0.0021756879078489444,-0.008742523012076675,0
2015-08-07,AAPL,25.935155868530277,0.0033878706394385727,-0.012089436205547033,0
2015-08-10,AAPL,26.87808990478516,0.03635736916464949,-0.05203826890133745,0
2015-08-11,AAPL,25.479400634765625,-0.05203826890133745,0.0,0
2015-08-12,AAPL,25.87229347229004,0.015420018828399273,-0.015185852693933466,0
2015-08-13,AAPL,25.852088928222656,-0.0007809336303726822,-0.014416177141111763,0
2015-08-14,AAPL,26.033937454223636,0.007034190796181949,-0.02130053590368619,0
2015-08-17,AAPL,26.30334854125977,0.010348457182469906,-0.03132482943005099,0
2015-08-18,AAPL,26.155174255371094,-0.0056332860303413,-0.025837091124204403,0
2015-08-19,AAPL,25.82065773010254,-0.012789688265978927,-0.020519948312316516,0
2015-08-20,AAPL,25.29081916809082,-0.020519948312316516,-0.061162669697812255,0
2015-08-21,AAPL,23.74396514892578,-0.061162669697812255,-0.024962494003378355,0
2015-08-24,AAPL,23.151256561279297,-0.024962494003378355,0.0,0
2015-08-25,AAPL,23.29045295715332,0.006012476925629562,-0.005976543098156983,0
2015-08-26,AAPL,24.62626838684082,0.05735463505776184,-0.059895872260927074,0
2015-08-27,AAPL,25.35143280029297,0.029446784306129237,-0.08678705682419041,0
