Date,symbol,close,return,future_ret_20,crash
2015-01-02,AAPL,24.237548828125,,0.08506360360405729,0
2015-01-05,AAPL,23.55473518371582,-0.028171728471851454,0.11670627027162706,0
2015-01-06,AAPL,23.55695152282715,9.409314492581089e-05,0.12516481956745995,0
2015-01-07,AAPL,23.88728141784668,0.014022607921039043,0.1175253706638113,0
2015-01-08,AAPL,24.805076599121094,0.03842191856075794,0.06711424310211678,0
2015-01-09,AAPL,24.83169174194336,0.0010729716038533343,0.07305116123732791,0
2015-01-12,AAPL,24.219816207885746,-0.024640912122152803,0.12129577208790665,0
2015-01-13,AAPL,24.43485641479492,0.008878688635100218,0.13747790748848154,0
2015-01-14,AAPL,24.34174919128418,-0.0038104264633355145,0.15627569377955197,0
2015-01-15,AAPL,23.681108474731445,-0.027140231844525076,0.19435979593935793,0
2015-01-16,AAPL,23.49710464477539,-0.007770068286811482,0.2108168922621101,0
2015-01-20,AAPL,24.10231208801269,0.02575668161616962,0.18863182071883067,0
2015-01-21,AAPL,24.286325454711918,0.007634676956603803,0.17715124971442364,0
2015-01-22,AAPL,24.918142318725582,0.02601533382198351,0.1566823070198342,0
2015-01-23,AAPL,25.04672622680664,0.0051602525756677675,0.18184518102685576,0
2015-01-26,AAPL,25.073326110839844,0.0010620104117533558,0.17322414938362862,0
2015-01-27,AAPL,24.195432662963867,-0.03501304310386011,0.18470096469359398,0
2015-01-28,AAPL,25.56326484680176,0.056532660642669263,0.13550175254446684,0
2015-01-29,AAPL,26.35914421081543,0.03113371350581784,0.08466768255333657,0
2015-01-30,AAPL,25.973398208618164,-0.014634238468143823,0.10617489604033525,0
2015-02-02,AAPL,26.29928207397461,0.012546832060208235,0.09475299451031227,0
2015-02-03,AAPL,26.303720474243164,0.00016876507336105462,0.08762976565771563,0
2015-02-04,AAPL,26.50545310974121,0.0076693574848312185,0.061466236332610835,0
2015-02-05,AAPL,26.694643020629883,0.007137773125604152,0.055527558823325496,0
2015-02-06,AAPL,26.469850540161133,-0.00842088355686299,0.06903221506251889,0
2015-02-09,AAPL,26.645675659179688,0.006642467389522455,0.040009998562634985,0
2015-02-10,AAPL,27.15757751464844,0.01921144211227377,0.0018030125873762515,0
2015-02-11,AAPL,27.794109344482425,0.023438461309394976,-0.0034430821929936073,0
2015-02-12,AAPL,28.14577293395996,0.012652450385043368,-0.022694961830695415,0
2015-02-13,AAPL,28.283763885498047,0.004902723825061184,-0.016761057070014518,0
2015-02-17,AAPL,28.45069122314453,0.005901878488388634,-0.006180195752903628,0
2015-02-18,AAPL,28.648775100708008,0.006962357294234556,-0.001942183361097083,0
2015-02-19,AAPL,28.58867835998535,-0.002097707162396989,-0.0073957709877593425,0
2015-02-20,AAPL,28.82237434387207,0.008174424187926688,-0.02779926842463143,0
2015-02-23,AAPL,29.60135269165039,0.02702686248136743,-0.043533629723484624,0
2015-02-24,AAPL,29.4166316986084,-0.0062402889140298345,-0.0414618317687977,0
2015-02-25,AAPL,28.664352416992188,-0.025573263768733923,-0.04200626867467239,0
2015-02-26,AAPL,29.02713203430176,0.012656124653788403,-0.04738511360162001,0
2015-02-27,AAPL,28.59091186523437,-0.015028014774311926,-0.04055758448104141,0
2015-03-02,AAPL,28.731121063232425,0.004903977832499518,-0.02107063340755755,0
2015-03-03,AAPL,28.79121780395508,0.002091694946061873,-0.03811077788576145,0
2015-03-04,AAPL,28.60870933532715,-0.0063390326130234875,-0.033374773312955464,0
2015-03-05,AAPL,28.1346435546875,-0.01657068045548815,-0.008622802945170815,0
2015-03-06,AAPL,28.176931381225582,0.0015030517964758072,0.005924187699483996,0
2015-03-09,AAPL,28.297122955322266,0.0042656019731364125,-0.008887732829724104,0
2015-03-10,AAPL,27.711769104003903,-0.02068598465796556,0.008754660007042725,0
2015-03-11,AAPL,27.20654296875,-0.01823146452172575,0.035340349005725136,0
2015-03-12,AAPL,27.69841194152832,0.018079069190940267,0.021293772976002767,0
2015-03-13,AAPL,27.50700569152832,-0.0069103691000069745,0.026377391180017362,0
2015-03-16,AAPL,27.8096981048584,0.011004193503449944,0.010804242521634144,0
2015-03-17,AAPL,28.27486038208008,0.01672662088843091,-0.00204665758690048,0
2015-03-18,AAPL,28.5931339263916,0.011256414355744537,-0.01790303099111823,0
2015-03-19,AAPL,28.377243041992188,-0.007550444975887971,-0.02156850910158503,0
2015-03-20,AAPL,28.02113342285156,-0.012549126728543136,0.013502624438233024,0
2015-03-23,AAPL,28.31269836425781,0.010405180154792637,-0.002358190591112419,0
2015-03-24,AAPL,28.196964263916016,-0.004087710003928713,0.015234050785580822,0
2015-03-25,AAPL,27.46026992797852,-0.02612672516949821,0.050980580103340056,0
2015-03-26,AAPL,27.65167808532715,0.00697036692831654,0.048615676571378774,0
2015-03-27,AAPL,27.43133354187012,-0.00796857763124148,0.07626749949015821,0
2015-03-30,AAPL,28.1257381439209,0.025314285249416146,0.03315654625221076,0
2015-03-31,AAPL,27.69396209716797,-0.015351634312440354,0.03383437518853816,0
2015-04-01,AAPL,27.65390014648437,-0.0014465951294017065,0.007243453992272997,0
2015-04-02,AAPL,27.89204406738281,0.008611585332881644,0.028965845575303018,0
2015-04-06,AAPL,28.34385681152344,0.01619862434782915,0.010600831313191561,0
2015-04-07,AAPL,28.045625686645508,-0.010521896397553188,-0.0016669630715755446,0
2015-04-08,AAPL,27.954376220703125,-0.003253607780475787,-0.00469768855982855,0
2015-04-09,AAPL,28.168031692504883,0.0076430062368382234,-0.006137798741495337,0
2015-04-10,AAPL,28.28821563720703,0.004266678836992721,0.008285589298000273,0
2015-04-13,AAPL,28.232568740844727,-0.0019671405604357872,-1.8240781970213504e-05,0
2015-04-14,AAPL,28.11016082763672,-0.004335698757404138,0.000758524666470306,0
2015-04-15,AAPL,28.216991424560547,0.003800426385991873,-0.0019216119152375422,0
2015-04-16,AAPL,28.08123016357422,-0.004811330128844271,0.026302801968014933,0
2015-04-17,AAPL,27.76518821716309,-0.011254562017766756,0.036536143719617,0
2015-04-20,AAPL,28.399492263793945,0.02284529972099225,0.024559970497356032,0
2015-04-21,AAPL,28.24593162536621,-0.0054071614027940695,0.02918035738124991,0
2015-04-22,AAPL,28.62651824951172,0.013474033329590185,0.015419621095722924,0
2015-04-23,AAPL,28.86021041870117,0.008163485588871255,0.017496921233949303,0
2015-04-24,AAPL,28.995983123779297,0.004704494634943712,0.021596545668317813,0
2015-04-27,AAPL,29.523452758789062,0.018191127810982755,-0.01876024950784283,0
2015-04-28,AAPL,29.058290481567383,-0.01575568687789075,0.015560377666744785,0
2015-04-29,AAPL,28.630970001220703,-0.014705630416136928,0.028688069728651344,0
2015-04-30,AAPL,27.854209899902344,-0.027130065844267248,0.04533914449203991,0
2015-05-01,AAPL,28.699960708618164,0.030363482279882836,0.01655906525168227,0
2015-05-04,AAPL,28.644325256347656,-0.0019385201546217035,0.014008106073055915,0
2015-05-05,AAPL,27.99887466430664,-0.022533279672837914,0.038660990168993825,0
2015-05-06,AAPL,27.823055267333984,-0.006279516554884679,0.03911952415574804,0
2015-05-07,AAPL,27.995141983032227,0.0061850402137642035,0.027063910060536767,0
2015-05-08,AAPL,28.522600173950195,0.01884106146836695,0.00141058710689701,0
2015-05-11,AAPL,28.232053756713867,-0.010186533326708602,0.008707767681433332,0
2015-05-12,AAPL,28.13148307800293,-0.003562287022318422,0.02391341948019665,0
2015-05-13,AAPL,28.162769317626957,0.0011121432715537338,0.02047421397670024,0
2015-05-14,AAPL,28.81984519958496,0.02333136612196518,-0.013803996969139254,0
2015-05-15,AAPL,28.779621124267575,-0.0013957075424528842,-0.014366805599646204,0
2015-05-18,AAPL,29.096982955932617,0.011027310967531623,-0.01989413576315846,0
2015-05-19,AAPL,29.070158004760746,-0.0009219152106765272,-0.021296117382334168,0
2015-05-20,AAPL,29.067928314208984,-7.670032448381381e-05,-0.01676184841882189,0
2015-05-21,AAPL,29.365175247192383,0.010225941448950726,-0.03645634990665314,0
2015-05-22,AAPL,29.62219619750977,0.0087525767564407,-0.037196142676614086,0
2015-05-26,AAPL,28.96958541870117,-0.02203114092072156,-0.019981491145285357,0
2015-05-27,AAPL,29.510448455810547,0.018670030284942518,-0.02976375218831162,0
2015-05-28,AAPL,29.45233726501465,-0.0019691734228611812,-0.03247824192288995,0
2015-05-29,AAPL,29.117095947265625,-0.011382503016059253,-0.027095436684907104,0
2015-06-01,AAPL,29.17520523071289,0.0019957101337477745,-0.04603950913330823,0
2015-06-02,AAPL,29.045578002929688,-0.004443061385794311,-0.03485699733810477,0
2015-06-03,AAPL,29.08133888244629,0.0012311987564164184,-0.027052081140961692,0
2015-06-04,AAPL,28.91147994995117,-0.005840822294383763,-0.02257265531165098,0
2015-06-05,AAPL,28.75279998779297,-0.005488475942182491,-0.020598486953148365,0
2015-06-08,AAPL,28.562833786010746,-0.006606876612464618,-0.01651048460212534,0
2015-06-09,AAPL,28.47789192199707,-0.0029738598295270258,-0.038062994985404774,0
2015-06-10,AAPL,28.804203033447266,0.011458401216774883,-0.06835833957214599,0
2015-06-11,AAPL,28.7393798828125,-0.0022504754101161373,-0.04129392704081414,0
2015-06-12,AAPL,28.422016143798828,-0.011042817914226122,-0.011873845823880513,0
2015-06-15,AAPL,28.36614990234375,-0.0019655974147797517,-0.010321454391706508,0
2015-06-16,AAPL,28.518123626708984,0.005357573195108767,-0.006112879396403481,0
2015-06-17,AAPL,28.45107650756836,-0.002351035433405313,0.0095051418698604,0
2015-06-18,AAPL,28.58069610595703,0.0045558767645994536,0.013606712422343126,0
2015-06-19,AAPL,28.294628143310547,-0.010009132093422357,0.043206952102438745,0
2015-06-22,AAPL,28.52036476135254,0.007978073325390689,0.024605953968080296,0
2015-06-23,AAPL,28.390729904174805,-0.004545343590885653,-0.014248448379195033,0
